Wavelength value
756nm	675.124695
757nm	645.685913
758nm	618.892456
759nm	596.762024
760nm	578.449219
761nm	567.157532
762nm	562.600891
763nm	563.437866
764nm	573.537170
765nm	588.252930
766nm	606.195862
767nm	628.688843
768nm	652.933533
769nm	677.032532
770nm	699.381531
771nm	717.720581
772nm	733.419495
773nm	745.835815
774nm	752.975769
775nm	757.946594
776nm	760.888245
777nm	761.462646
778nm	761.887085
779nm	762.188538
780nm	760.239868
CCT	5398.000000
Duv	0.002147
x	0.334866
y	0.347374
u'	0.206111
v'	0.481072
deltax	0.000039
deltay	0.004258
deltau'	-0.001607
deltav'	0.002137
Purity	4.710779
CRI	99.156181
R1	99.516563
R2	99.497108
R3	98.963242
R4	99.276337
R5	99.700012
R6	99.229668
R7	98.841209
R8	98.225319
R9	96.026398
R10	98.978516
R11	99.122070
R12	98.273788
R13	99.532082
R14	99.428528
R15	99.277245
